country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,update_hour,update_day_of_week,pollutant_range,air_quality_category
India,Maharashtra,Pimpri-Chinchwad,"Transport Nagar-Nigdi, Pune - IITM",2026-07-06 10:00:00,18.664282,73.763966,CO,34.0,36.0,35.0,10,Monday,2.0,Good/Satisfactory
India,Maharashtra,Pimpri-Chinchwad,"Bhosari, Pune - IITM",2026-07-06 10:00:00,18.640051,73.848956,NH3,2.0,4.0,3.0,10,Monday,2.0,Good/Satisfactory
India,Maharashtra,Pimpri-Chinchwad,"Park Street Wakad, Pimpri Chinchwad - MPCB",2026-07-06 10:00:00,18.59051,73.77946,NO2,7.0,17.0,12.0,10,Monday,10.0,Good/Satisfactory
India,Maharashtra,Pimpri-Chinchwad,"Park Street Wakad, Pimpri Chinchwad - MPCB",2026-07-06 10:00:00,18.59051,73.77946,CO,10.0,13.0,12.0,10,Monday,3.0,Good/Satisfactory
India,Maharashtra,Pimpri-Chinchwad,"Savta Mali Nagar, Pimpri-Chinchwad - IITM",2026-07-06 10:00:00,18.614767,73.799516,NH3,2.0,4.0,3.0,10,Monday,2.0,Good/Satisfactory
India,Maharashtra,Pimpri-Chinchwad,"Savta Mali Nagar, Pimpri-Chinchwad - IITM",2026-07-06 10:00:00,18.614767,73.799516,SO2,2.0,6.0,4.0,10,Monday,4.0,Good/Satisfactory
India,Maharashtra,Pimpri-Chinchwad,"Savta Mali Nagar, Pimpri-Chinchwad - IITM",2026-07-06 10:00:00,18.614767,73.799516,CO,4.0,16.0,9.0,10,Monday,12.0,Good/Satisfactory
India,Maharashtra,Pimpri-Chinchwad,"Thergaon, Pimpri Chinchwad - MPCB",2026-07-06 10:00:00,18.616318,73.765797,PM2.5,11.0,103.0,31.0,10,Monday,92.0,Moderate
India,Maharashtra,Pimpri-Chinchwad,"Thergaon, Pimpri Chinchwad - MPCB",2026-07-06 10:00:00,18.616318,73.765797,PM10,46.0,77.0,54.0,10,Monday,31.0,Moderate
India,Maharashtra,Pimpri-Chinchwad,"Thergaon, Pimpri Chinchwad - MPCB",2026-07-06 10:00:00,18.616318,73.765797,OZONE,8.0,10.0,9.0,10,Monday,2.0,Good/Satisfactory
India,Maharashtra,Pune,"Mhada Colony, Pune - IITM",2026-07-06 10:00:00,18.57304,73.927715,NO2,21.0,47.0,32.0,10,Monday,26.0,Good/Satisfactory
India,Odisha,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB",2026-07-06 10:00:00,21.8004996,83.8396977,CO,34.0,41.0,38.0,10,Monday,7.0,Good/Satisfactory
